,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.036773,200.0,-270.59593,-672.538039,-1.160926,194.870656,11,exp_name: Pendulum-v1_2023-01-30 (TEST),134,297000
0,0.039493,200.0,-271.837954,-522.190967,-0.993329,174.420948,11,exp_name: Pendulum-v1_2023-01-30 (TEST),135,299200
0,0.037031,200.0,-295.887643,-653.031685,-1.351521,175.024862,11,exp_name: Pendulum-v1_2023-01-30 (TEST),136,301400
0,0.037068,200.0,-311.011665,-557.657478,-121.071171,141.435276,11,exp_name: Pendulum-v1_2023-01-30 (TEST),137,303600
0,0.036942,200.0,-221.976852,-493.638088,-119.701916,141.362591,11,exp_name: Pendulum-v1_2023-01-30 (TEST),138,305800
0,0.039686,200.0,-232.713796,-522.391748,-115.307618,145.247867,11,exp_name: Pendulum-v1_2023-01-30 (TEST),139,308000
0,0.03966,200.0,-180.551753,-597.134405,-1.263053,191.50119,11,exp_name: Pendulum-v1_2023-01-30 (TEST),140,310200
0,0.037403,200.0,-177.354156,-363.978809,-1.421616,116.93244,11,exp_name: Pendulum-v1_2023-01-30 (TEST),141,312400
0,0.036759,200.0,-258.00299,-506.466091,-120.151744,135.56551,11,exp_name: Pendulum-v1_2023-01-30 (TEST),142,314600
0,0.037403,200.0,-314.10855,-516.127909,-118.394787,144.881031,11,exp_name: Pendulum-v1_2023-01-30 (TEST),143,316800
0,0.039859,200.0,-165.726298,-355.635698,-1.14036,103.583516,11,exp_name: Pendulum-v1_2023-01-30 (TEST),144,319000
0,0.037418,200.0,-234.077253,-519.386594,-1.189016,191.866077,11,exp_name: Pendulum-v1_2023-01-30 (TEST),145,321200
0,0.036728,200.0,-211.87617,-528.168031,-0.909541,179.402433,11,exp_name: Pendulum-v1_2023-01-30 (TEST),146,323400
0,0.037503,200.0,-166.454585,-350.461645,-114.447135,74.773725,11,exp_name: Pendulum-v1_2023-01-30 (TEST),147,325600
0,0.039249,200.0,-227.958396,-522.507307,-117.289435,147.850547,11,exp_name: Pendulum-v1_2023-01-30 (TEST),148,327800
0,0.038076,200.0,-162.488337,-456.284351,-0.979518,147.886037,11,exp_name: Pendulum-v1_2023-01-30 (TEST),149,330000
0,0.036874,200.0,-196.666329,-472.585712,-0.820863,133.676054,11,exp_name: Pendulum-v1_2023-01-30 (TEST),150,332200
0,0.038557,200.0,-185.565555,-489.262859,-0.846021,156.523056,11,exp_name: Pendulum-v1_2023-01-30 (TEST),151,334400
0,0.040996,200.0,-200.332284,-496.545835,-0.804812,147.830559,11,exp_name: Pendulum-v1_2023-01-30 (TEST),152,336600
0,0.039371,200.0,-210.578608,-390.027323,-116.610419,98.632146,11,exp_name: Pendulum-v1_2023-01-30 (TEST),153,338800
0,0.037112,200.0,-260.39405,-913.53776,-1.965843,231.065651,11,exp_name: Pendulum-v1_2023-01-30 (TEST),154,341000
0,0.038165,200.0,-148.794539,-397.940087,-0.750323,149.930143,11,exp_name: Pendulum-v1_2023-01-30 (TEST),155,343200
0,0.040817,200.0,-162.936686,-656.128226,-1.10112,192.267437,11,exp_name: Pendulum-v1_2023-01-30 (TEST),156,345400
0,0.040453,200.0,-157.662891,-383.048625,-1.852182,119.038449,11,exp_name: Pendulum-v1_2023-01-30 (TEST),157,347600
0,0.042591,200.0,-198.430424,-350.255631,-117.418958,88.057931,11,exp_name: Pendulum-v1_2023-01-30 (TEST),158,349800
